file_number,circuit,waveform,frequency[Hz]
0000,high-pass,triangular,20
0001,high-pass,triangular,1E2
0002,high-pass,triangular,1E3
0003,high-pass,triangular,1E4
0004,high-pass,triangular,1E5
0005,high-pass,triangular,1E6
0006,high-pass,sine,20
0007,high-pass,sine,1E2
0008,high-pass,sine,1E3
0009,high-pass,sine,1E4
0010,high-pass,sine,1E5
0011,high-pass,sine,1E6
0012,high-pass,sine,1E7
0013,high-pass,square,20
0014,high-pass,square,1E2
0015,high-pass,square,1E3
0016,high-pass,square,1E4
0017,high-pass,square,1E5
0018,high-pass,square,1E6
0019,high-pass,square,1E7
20,low-pass,triangular,20
21,low-pass,triangular,1E2
22,low-pass,triangular,1E3
0023,low-pass,triangular,1E4
0024,low-pass,triangular,1E5
0025,low-pass,triangular,1E6
0026,low-pass,sine,20
0027,low-pass,sine,1E2
0028,low-pass,sine,1E3
0029,low-pass,sine,1E4
0030,low-pass,sine,1E5
0031,low-pass,sine,1E7
0037,low-pass,sine,1E6
0039,low-pass,square,20
0040,low-pass,square,1E2
